content,sentiment
i know  i was listenin to bad habit earlier and i started freakin at his part =,2
layin n bed with a headache  ughhhhwaitin on your call,4
funeral ceremonygloomy friday,4
wants to hang out with friends soon,3
we want to trade with someone who has houston tickets but no one will,2
re-pinging : why did not you go to prom because my bf did not like my friends,6
i should be sleep but i am not thinking about an old friend who i want but he is married now damn  he wants me  scandalous,4
hmmm  is down,6
charlene my love i miss you,4
i am sorry  at least it is friday,4
cannot fall asleep,2
choked on her retainers,6
ugh i have to beat this stupid song to get to the next  rude,4
if you watch the hills in london you will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,4
got the news,5
the storm is here and the electricity is gone,4
agreed,1
so sleepy again and it is not even that late i fail once again,4
lady gaga tweeted about not being impressed by her video leaking just so you know,6
how are you convinced that i have always wanted you what signals did i give offdamn i think i just lost another friend,4
oh too bad i hope it gets better i have been having sleep issues lately too,6
wondering why i am awake at amwriting a new songplotting my evil secret plots muahahahaoh damn itnot secret anymore,3
no topic maps talks at the balisage markup conference    program online at  (via ) #topicmaps,2
i ate something i do not know what it is why do i keep telling things about food,6
so tired and i think i am definitely going to get an ear infection  going to bed early for once,4
on my way home n having  deal w underage girls drinking gin on da bus while talking bout keggersdamn i feel old,6
i am sorry people are so rude to you isaac they should get some manners and know better than to be so lewd,4
damm servers still down  i need to hit  before all the koxpers pass me,6
fudge just bs'd that whole paper so tired ugh i hate school  time to sleep,4
i hate cancer i hate it i hate it i hate it,6
it is so annoying when she starts typing on her computer in the middle of the night,0
i cannot sleep,2
i missed the bly bus,2
feels strong contractions but wants to go out,2
socal  stoked or maybe not tomorrow,2
screw you  i only have  weeks,2
yeah :s i feel all funny because i have not slept enough  i woke my mum up because i was singing she is not impressed :s you,4
i need skott right now,6
has work this afternoon,2
aw you would not unfollow me would you then i would cry,2
mmm much better day so far it is still quite early last day of #uds,3
your going to be the first  twitter ;) because your amazing lol come to canada  would do anything to see you perform,3
just picked up her blackberry from the middle of the street both she and it are crushed,6
why do i have the feeling i should be packing and hitting for sfo around this time of the year i think i am missing something,6
middle school and elem high schools will remain open for those who need credits to graduate cali is broken,2
bed its time hope i go to school tomorrow all though i do not feel very well right now,6
ahh   well i was hoping that i could learn some stuff on the way  why not you and i work on separate things but also,6
i am having a problem with my photo here in twitter amfcan't see my face,4
oh noooo  if i blow a tire you are reaaaally going to have to send up some batman smoke,2
wnna take a bath,2
chocolate milk is so much better through a straw i lack said straw,2
why am i so tired,6
hey yu lil fucker i textd yu,2
time different and i have just been wrapped up in day to day stuff so i have not been tweeting talk soonmust sleepup in hrs,2
no way damn that sucks b  are you ok,2
sucks not being able to take days off of work or have the money to take the trip  so sad,6
bedsorta today was good sara has strep thought angelina does to; i shared a water with her b they told me i will prob get it to,3
the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but we will cope,2
but i got dibs on sulu,2
aww  onward and upwards now yay still sad to leave i bet,4
at once haha  poor aby still gets sore,6
diesel yaris mpg  so sad its not available in the us that would be awesome,4
i want to buy this great album but unfortunately i do not hav enuff funds  its long time noisy,4
in all honestypain   blech,4
ok  the passengers  no one is alive  they are all dead  you just do not know it til the end  then you cry,4
at home alone with not much to do,2
ia so much i have not really been happy with any of cooks choices for singles,6
i fell asleep on the beach and did not put on enough sunscreen  lol,4
so i think my son might have the flu because i def just cleaned up a stanky puke mess  poor pumkpin,6
so great to see oin  cynthia  so happy  dinner was great cute little place  too bad oin got sick afterwards,3
i cannot give any birthday nudges,2
and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'him',6
brothers bloom will not be opening this weekend in el paso  i will just buy brick and enjoy that until i can watch brothers bloom,2
says i miss plurking,2
bitten to blood by my cat on my way for a rabies bacterin seems  shots for  months never wash my cats at home again they hate water,6
i miss voobys,2
neither are elp,2
dude that is my favorite sandwich place ever ummm did you take pictures,3
is sad that shin ae got marriedand it was not to alex,6
sure you will tweet about this when you are back but news is abuzz about tr knight's leaving confirmed today  muy triste,6
ohh thursday i have exams all day  what about wednesday,4
there was a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow  am,2
i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go,4
goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now,6
i love those 'it'sakey' usb sticks we only have the gb in australia,4
fresh prince and sleepy sleeps my nightly routine  got to go to dmv early tomorrow,6
dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cannot watch and code,0
i am jealous of your mom talking to  i want to see you all our twittering is making me miss you,6
i cannot sleepi keep thinking about the puppy i played with today,6
i am suppposed to be sleep but i got some much to do  i got that one part of the song stuck in my head your a jerk (iknow)  blaahh,6
what is going on sweetheart,2
how can it be so freaking difficult to get a system-wide spellchecker shit i would settle for an office suite one stupid unhelpful windows,2
last one month due to summer strawberry is not availble in the chennai markets,6
work at am got to go to bed soon,2
correct i adore him i just plucked him up and put him under my arm cuz he was cryin  all better now hahaha,1
hiii i am on my ipodi cannot fall asleep,4
do not want to work - tomorrow  but i get paid,4
feels sad coz i was not able to play with the guys,4
princecharming,2
cayogial i wanted to come to bz this summer :/ not so sure anymore a teacher's life in the summer sucks,0
first ever dropped call on my mobile on a call to no less ( being charged for data even though i have a data pack  ),6
you win  sigh rakeem,0
oh is that time for real,2
darn these allergies i do not like this time of year because of this i never used to have this problem either,4
oh no one minute too late oh well,6
damn that sucks,0
i wanted to come to bz this summer :/ not so sure anymore a teacher's life in the summer sucks,4
this website gave me a virus when i opened it more windows kept popping up,0
ahh big scary bug flying around my room,6
i wish she knew what she puts me throughshe stole my heart never gave it backand occasionally she likes to be like look what i have,4
is up with a nasty cough i cannot be sick i have a huge weekend ahead of me,6
